epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.855,1.37093,2.74809,1.68149,0.57306,0.40389,0.45956,0.28552,1.31884,2.70381,1.82867,0.00031108,0.00031108,0.00031108
2,955.988,1.2192,1.86289,1.52722,0.41754,0.54127,0.47953,0.27923,1.49452,3.23382,1.91581,0.000620731,0.000620731,0.000620731
3,1370.75,1.23041,1.70609,1.54079,0.27479,0.27556,0.21732,0.11046,2.22976,5.4018,2.53773,0.000917624,0.000917624,0.000917624
4,1775.83,1.29782,1.68147,1.61297,0.25044,0.29784,0.21149,0.10788,2.3413,5.20067,2.71167,0.00104501,0.00104501,0.00104501
5,2219.75,1.27203,1.65595,1.59312,0.3983,0.33941,0.37358,0.17943,1.60144,4.03313,2.15452,0.00102301,0.00102301,0.00102301
6,6247.79,1.24047,1.55556,1.54153,0.51999,0.47718,0.51604,0.30433,1.51142,3.05168,2.03316,0.00100101,0.00100101,0.00100101
7,6812.75,1.22586,1.48829,1.53203,0.60046,0.56988,0.6346,0.391,1.46519,2.22557,1.93842,0.000979013,0.000979013,0.000979013
8,7421.24,1.19009,1.43757,1.52296,0.6521,0.52896,0.57699,0.34915,1.40862,1.67521,1.9189,0.000957015,0.000957015,0.000957015
9,8009.21,1.15715,1.34955,1.48417,0.61561,0.53848,0.56713,0.34294,1.44501,2.03667,1.87869,0.000935018,0.000935018,0.000935018
10,8609.91,1.17306,1.34255,1.48198,0.58202,0.5971,0.59339,0.3695,1.40086,1.68499,1.94735,0.00091302,0.00091302,0.00091302
11,9171.4,1.12978,1.3059,1.46641,0.64127,0.56288,0.62441,0.38784,1.35282,1.68074,1.82943,0.000891022,0.000891022,0.000891022
12,13583.3,1.10711,1.25487,1.4388,0.70585,0.69038,0.69747,0.42309,1.31165,1.3944,1.77681,0.000869024,0.000869024,0.000869024
13,14102.6,1.11961,1.25524,1.46404,0.66833,0.56784,0.62116,0.40942,1.34369,1.55196,1.84881,0.000847026,0.000847026,0.000847026
14,14641,1.03437,1.15073,1.40196,0.78817,0.5457,0.64023,0.3737,1.42162,1.57086,1.86776,0.000825029,0.000825029,0.000825029
15,15139.1,1.06415,1.13903,1.41182,0.6543,0.6676,0.67201,0.40246,1.35931,1.61548,1.86153,0.000803031,0.000803031,0.000803031
16,15694.8,1.03339,1.09174,1.38806,0.73989,0.66219,0.68654,0.42764,1.22948,1.59997,1.65038,0.000781033,0.000781033,0.000781033
17,16261.6,1.00068,1.09468,1.37511,0.7,0.71298,0.70113,0.45831,1.25661,1.38971,1.62986,0.000759035,0.000759035,0.000759035
18,16786.7,0.99026,1.03,1.36057,0.76094,0.67572,0.70784,0.47828,1.27424,1.21567,1.72552,0.000737037,0.000737037,0.000737037
19,17252.3,0.97468,0.99624,1.33558,0.69397,0.67412,0.67402,0.45678,1.26093,1.28659,1.706,0.00071504,0.00071504,0.00071504
20,17685.4,0.95089,0.99378,1.35866,0.73027,0.67972,0.70848,0.4797,1.25902,1.34909,1.66098,0.000693042,0.000693042,0.000693042
